Id,AccountNumber,SubNumber,ParentId,Name_en,Name_fr,Name_ar,UpdateDate,Status,TimeStamp
965,731,1,73,Intangible Fixed Assets,Immobilisations incorporelles,Intangible Fixed Assets,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xaf'
966,732,2,73,Tangible Fixed Assets,Immobilisations corporelles,Tangible Fixed Assets,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb0'
967,771,1,77,Revenues of Equity Participation,Produits des participations,Revenues of Equity Participation,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb1'
968,772,2,77,Revenue from Other Assets,Revenus des autres valeurs mobil.,Revenue from Other Assets,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb2'
969,775,5,77,Foreign Currencies Positive Difference,Diffèrences positives de change,Foreign Currencies Positive Difference,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb3'
970,778,8,77,Other Financial Income,Autres produits financiers,Other Financial Income,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb4'
971,1011,1,101,Subscribed Capital (Uncoiled),Capital souscrit non appelé,Subscribed Capital (Uncoiled),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb5'
972,1012,2,101,Subscribed Capital (called & Unpaid ),Capital souscrit appelé non versé,Subscribed Capital (called & Unpaid ),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb6'
973,1013,3,101,Subscribed Capital (Called & Paid Up ),Capital souscrit appelé et versé,Subscribed Capital (Called & Paid Up ),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb7'
974,1021,1,102,Issue Premiums,Primes d'émission,Issue Premiums,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb8'
975,1022,2,102,Merger Premiums,Primes de fusion,Merger Premiums,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xb9'
976,1023,3,102,Contributions Premiums,Primes d'apport,Contributions Premiums,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xba'
977,1031,1,103,Revaluation Variances of unamortizable F,Ecarts immob. non amortissable,Revaluation Variances of unamortizable F,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xbb'
978,1035,5,103,Revaluation variances of Amortizable Fix,Ecarts immob. amortissable,Revaluation variances of Amortizable Fix,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xbc'
979,1036,6,103,Special revaluated reserves,Réserve spéciale reévaluée,Special revaluated reserves,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xbd'
980,1090,0,109,Compte personnel de l'exploitant,Compte personnel de l'exploitant,Compte personnel de l'exploitant,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xbe'
981,1191,1,119,Facultatif reserves,Réserves facultatives,Facultatif reserves,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xbf'
982,1192,2,119,Disponible reserves,Réserves indisponbles,Disponible reserves,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc0'
983,1193,3,119,Reglemented reserves,Réserves règlementées,Reglemented reserves,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc1'
984,1195,5,119,Various reserves,Réserves diverses,Various reserves,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc2'
985,1210,0,121,Profits and Losses,Pertes et profits,Profits and Losses,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc3'
986,1211,1,121,Profit Brought Forward,Profits antérieurs reportés,Profit Brought Forward,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc4'
987,1251,1,125,Loss Brought Forward,Pertes antérieurs reportés,Loss Brought Forward,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc5'
988,1341,1,134,Operating Result ( Prior to Financial In,Résultat d'exploitation,Operating Result ( Prior to Financial In,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc6'
989,1511,1,151,Provisions for Litigation and Sundry Con,Provisions litiges et event. div.,Provisions for Litigation and Sundry Con,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc7'
990,1551,1,151,Provision for deferred charges,Prov. charges à repartir +rs exerc.,Provision for deferred charges,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc8'
991,1555,5,155,Provisions for Taxes,Provisions pour impôts,Provisions for Taxes,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xc9'
992,1558,8,155,Other provisions for Charges,Autres provisions pour charges,Other provisions for Charges,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xca'
993,1611,1,161,Loans against debenture,Emprunts obligatoires,Loans against debenture,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xcb'
994,1612,2,161,Other Loans against debenture,Autres emprunts obligatoires,Other Loans against debenture,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xcc'
995,1681,1,168,Notes Payable Resulting from the Purchas,Billets de fonds,Notes Payable Resulting from the Purchas,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xcd'
996,1682,2,168,Deposits and Guarantees,Dépôts et cautionnement,Deposits and Guarantees,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xce'
997,1683,3,168,Advances from the Government,Avances de l'état,Advances from the Government,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xcf'
998,1811,1,181,Balances Brought Forward,Liaison établissement nouveau,Balances Brought Forward,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd0'
999,2120,0,212,Establishment Expenses,Frais d'établissement,Establishment Expenses,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd1'
1000,2121,1,212,Constutution Expenses,Frais de constitution,Constutution Expenses,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd2'
1001,2122,2,212,1st Establishment Expenses,Frais de 1er établissement,1st Establishment Expenses,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd3'
1002,2191,1,219,Droit au bail,Droit au bail,Droit au bail,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd4'
1003,2210,0,221,Land,Terrains,Land,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd5'
1004,2211,1,221,Naked Land,Terrains nus,Naked Land,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd6'
1005,2213,3,221,Extractive Land Stress (Mines & Ovaries),Terrains d'exploitation,Extractive Land Stress (Mines & Ovaries),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd7'
1006,2221,1,222,Agencement terrains,Agencement terrains,Agencement terrains,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd8'
1007,2231,1,223,Buildings,Bâtiments,Buildings,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xd9'
1008,2241,1,224,Specialized Installations,Installations complexes spécialisés,Specialized Installations,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xda'
1009,2245,5,224,Outillages,Outillages,Outillages,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xdb'
1010,2248,8,224,Installation,Installation,Installation,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xdc'
1011,2251,1,225,Transportation Equipment,Matériels de transport,Transportation Equipment,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xdd'
1012,2263,3,226,Furniture,Mobilier de bureau,Furniture,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xde'
1013,2268,8,226,Material and Equipment,Matériel et Equipement,Material and Equipment,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xdf'
1014,2269,9,226,Electric Material and Equipment,Matériels et équipement électriques,Electric Material and Equipment,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xe0'
1015,2271,1,227,Land,Terrains en cours,Land,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xe1'
1016,2511,1,251,Actions,Actions,Actions,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xe2'
